day,susceptible,infected,recovered,dead,new_infections
0,999985,14,1,0,5
1,999977,19,4,0,8
2,999966,29,5,0,11
3,999953,39,8,0,13
4,999926,61,13,0,27
5,999903,74,23,0,23
6,999878,88,34,0,25
7,999852,107,41,0,26
8,999818,126,54,2,34
9,999781,144,73,2,37
10,999743,158,95,4,38
11,999691,186,118,5,52
12,999636,208,150,6,55
13,999596,211,184,9,40
14,999545,238,208,9,51
15,999485,262,243,10,60
16,999420,281,286,13,65
17,999348,308,327,17,72
18,999260,358,364,18,88
19,999182,378,421,19,78
20,999087,423,468,22,95
21,999000,448,528,24,87
22,998910,479,586,25,90
23,998817,502,653,28,93
24,998728,524,719,29,89
25,998622,549,798,31,106
26,998518,577,872,33,104
27,998403,604,957,36,115
28,998285,625,1049,41,118
29,998175,653,1128,44,110
30,998043,681,1230,46,132
31,997913,719,1319,49,130
32,997781,744,1423,52,132
33,997635,786,1521,58,146
34,997499,827,1613,61,136
35,997353,858,1723,66,146
36,997191,888,1852,69,162
37,997034,925,1967,74,157
38,996875,934,2110,81,159
39,996697,964,2253,86,178
40,996508,1024,2368,100,189
41,996332,1049,2510,109,176
42,996166,1082,2639,113,166
43,995978,1103,2802,117,188
44,995786,1128,2961,125,192
45,995588,1154,3128,130,198
46,995392,1190,3284,134,196
47,995165,1229,3466,140,227
48,994974,1215,3667,144,191
49,994766,1243,3844,147,208
50,994557,1265,4021,157,209
51,994336,1316,4183,165,221
52,994147,1312,4371,170,189
53,993938,1331,4556,175,209
54,993717,1370,4733,180,221
55,993475,1409,4930,186,242
56,993243,1450,5112,195,232
57,993008,1480,5311,201,235
58,992748,1516,5532,204,260
59,992504,1510,5775,211,244
60,992271,1536,5973,220,233
61,992028,1571,6176,225,243
62,991777,1578,6412,233,251
63,991500,1620,6637,243,277
64,991240,1641,6869,250,260
65,990977,1667,7101,255,263
66,990697,1717,7325,261,280
67,990414,1762,7555,269,283
68,990085,1821,7819,275,329
69,989792,1852,8071,285,293
70,989470,1901,8336,293,322
71,989156,1943,8600,301,314
72,988840,1982,8861,317,316
73,988532,1990,9147,331,308
74,988221,2028,9410,341,311
75,987886,2078,9689,347,335
76,987563,2096,9983,358,323
77,987216,2154,10258,372,347
78,986886,2146,10580,388,330
79,986552,2153,10898,397,334
80,986220,2183,11191,406,332
81,985881,2182,11516,421,339
82,985527,2194,11849,430,354
83,985166,2232,12156,446,361
84,984806,2278,12461,455,360
85,984423,2316,12794,467,383
86,984047,2343,13128,482,376
87,983702,2355,13444,499,345
88,983348,2391,13753,508,354
89,982982,2421,14076,521,366
90,982601,2457,14409,533,381
91,982201,2476,14779,544,400
92,981807,2504,15126,563,394
93,981422,2511,15491,576,385
94,981030,2543,15844,583,392
95,980604,2574,16226,596,426
96,980194,2624,16570,612,410
97,979784,2647,16944,625,410
98,979350,2673,17333,644,434
99,978900,2751,17691,658,450
100,978476,2760,18092,672,424
101,978023,2772,18521,684,453
102,977568,2861,18875,696,455
103,977109,2880,19295,716,459
104,976639,2936,19692,733,470
105,976163,2996,20099,742,476
106,975710,2991,20542,757,453
107,975219,3032,20978,771,491
108,974738,3090,21385,787,481
109,974268,3113,21820,799,470
110,973806,3150,22228,816,462
111,973293,3190,22682,835,513
112,972787,3202,23161,850,506
113,972309,3222,23608,861,478
114,971803,3266,24055,876,506
115,971315,3303,24484,898,488
116,970837,3303,24940,920,478
117,970346,3299,25420,935,491
118,969827,3295,25931,947,519
119,969313,3335,26392,960,514
120,968803,3327,26892,978,510
121,968284,3372,27344,1000,519
122,967732,3412,27840,1016,552
123,967185,3441,28345,1029,547
124,966645,3485,28824,1046,540
125,966118,3502,29315,1065,527
126,965570,3515,29828,1087,548
127,965046,3541,30311,1102,524
128,964490,3543,30850,1117,556
129,963930,3615,31324,1131,560
130,963371,3639,31843,1147,559
131,962823,3682,32319,1176,548
132,962255,3698,32841,1206,568
133,961679,3737,33367,1217,576
134,961104,3740,33914,1242,575
135,960549,3740,34448,1263,555
136,959968,3770,34980,1282,581
137,959375,3809,35512,1304,593
138,958786,3870,36026,1318,589
139,958200,3850,36599,1351,586
140,957632,3802,37194,1372,568
141,957033,3845,37726,1396,599
142,956414,3929,38246,1411,619
143,955775,3967,38825,1433,639
144,955098,4044,39419,1439,677
145,954467,4079,39993,1461,631
146,953836,4153,40528,1483,631
147,953226,4127,41146,1501,610
148,952589,4147,41745,1519,637
149,951939,4180,42337,1544,650
150,951289,4182,42973,1556,650
151,950577,4286,43552,1585,712
152,949905,4305,44181,1609,672
153,949196,4377,44796,1631,709
154,948530,4402,45419,1649,666
155,947872,4456,45995,1677,658
156,947203,4440,46649,1708,669
157,946537,4428,47297,1738,666
158,945840,4468,47934,1758,697
159,945138,4501,48583,1778,702
160,944430,4545,49234,1791,708
161,943703,4566,49918,1813,727
162,942967,4693,50513,1827,736
163,942273,4728,51152,1847,694
164,941537,4746,51851,1866,736
165,940757,4878,52474,1891,780
166,940030,4874,53187,1909,727
167,939279,4927,53858,1936,751
168,938548,4982,54517,1953,731
169,937810,4992,55212,1986,738
170,937049,5004,55939,2008,761
171,936288,5031,56657,2024,761
172,935533,5057,57364,2046,755
173,934774,5091,58060,2075,759
174,933988,5105,58816,2091,786
175,933215,5089,59582,2114,773
176,932443,5095,60317,2145,772
177,931686,5139,60999,2176,757
178,930903,5166,61727,2204,783
179,930116,5165,62493,2226,787
180,929329,5195,63217,2259,787
181,928534,5226,63964,2276,795
182,927773,5200,64724,2303,761
183,927038,5177,65455,2330,735
184,926210,5252,66178,2360,828
185,925406,5299,66915,2380,804
186,924594,5359,67647,2400,812
187,923743,5373,68463,2421,851
188,922920,5406,69218,2456,823
189,922080,5475,69970,2475,840
190,921233,5505,70767,2495,847
191,920383,5559,71527,2531,850
192,919533,5576,72329,2562,850
193,918672,5587,73157,2584,861
194,917829,5602,73956,2613,843
195,916964,5630,74764,2642,865
196,916150,5666,75517,2667,814
197,915301,5674,76332,2693,849
198,914468,5669,77141,2722,833
199,913594,5700,77950,2756,874
200,912705,5759,78751,2785,889
201,911838,5747,79603,2812,867
202,911007,5756,80396,2841,831
203,910110,5796,81223,2871,897
204,909175,5925,81999,2901,935
205,908266,5982,82818,2934,909
206,907371,6023,83639,2967,895
207,906493,6026,84479,3002,878
208,905627,5979,85368,3026,866
209,904736,5998,86214,3052,891
210,903853,6049,87024,3074,883
211,902908,6098,87884,3110,945
212,901975,6122,88757,3146,933
213,901086,6130,89603,3181,889
214,900125,6204,90455,3216,961
215,899158,6292,91308,3242,967
216,898210,6321,92199,3270,948
217,897251,6329,93110,3310,959
218,896294,6315,94050,3341,957
219,895358,6304,94976,3362,936
220,894435,6323,95850,3392,923
221,893467,6335,96767,3431,968
222,892483,6376,97672,3469,984
223,891434,6488,98578,3500,1049
224,890429,6497,99534,3540,1005
225,889456,6507,100462,3575,973
226,888471,6580,101346,3603,985
227,887469,6627,102274,3630,1002
228,886459,6627,103248,3666,1010
229,885496,6646,104168,3690,963
230,884509,6648,105115,3728,987
231,883475,6684,106081,3760,1034
232,882480,6738,106979,3803,995
233,881510,6708,107943,3839,970
234,880507,6714,108904,3875,1003
235,879485,6780,109825,3910,1022
236,878500,6776,110779,3945,985
237,877512,6774,111737,3977,988
238,876489,6792,112713,4006,1023
239,875441,6821,113694,4044,1048
240,874380,6910,114630,4080,1061
241,873277,6950,115653,4120,1103
242,872206,7003,116641,4150,1071
243,871122,7074,117625,4179,1084
244,870034,7120,118647,4199,1088
245,868968,7190,119612,4230,1066
246,867876,7209,120652,4263,1092
247,866788,7219,121692,4301,1088
248,865667,7321,122675,4337,1121
249,864635,7219,123786,4360,1032
250,863485,7250,124869,4396,1150
251,862446,7234,125901,4419,1039
252,861344,7293,126914,4449,1102
253,860255,7276,127988,4481,1089
254,859151,7325,129010,4514,1104
255,858016,7368,130074,4542,1135
256,856863,7371,131185,4581,1153
257,855718,7422,132248,4612,1145
258,854553,7463,133336,4648,1165
259,853462,7455,134394,4689,1091
260,852343,7467,135453,4737,1119
261,851183,7573,136474,4770,1160
262,850000,7595,137597,4808,1183
263,848834,7667,138671,4828,1166
264,847665,7767,139701,4867,1169
265,846480,7842,140775,4903,1185
266,845272,7953,141834,4941,1208
267,844108,7916,143003,4973,1164
268,842926,7888,144172,5014,1182
269,841720,7911,145315,5054,1206
270,840499,8024,146392,5085,1221
271,839282,8036,147545,5137,1217
272,838095,8034,148705,5166,1187
273,836885,8052,149850,5213,1210
274,835707,8094,150948,5251,1178
275,834493,8131,152077,5299,1214
276,833295,8115,153252,5338,1198
277,832095,8142,154385,5378,1200
278,830841,8249,155482,5428,1254
279,829631,8287,156614,5468,1210
280,828381,8309,157791,5519,1250
281,827124,8345,158964,5567,1257
282,825864,8422,160105,5609,1260
283,824573,8471,161308,5648,1291
284,823365,8469,162480,5686,1208
285,822131,8440,163702,5727,1234
286,820917,8429,164893,5761,1214
287,819646,8427,166118,5809,1271
288,818405,8424,167318,5853,1241
289,817137,8370,168593,5900,1268
290,815904,8413,169747,5936,1233
291,814611,8459,170945,5985,1293
292,813352,8426,172194,6028,1259
293,812114,8393,173427,6066,1238
294,810850,8368,174675,6107,1264
295,809518,8423,175902,6157,1332
296,808210,8477,177114,6199,1308
297,806875,8626,178260,6239,1335
298,805576,8607,179536,6281,1299
299,804238,8670,180767,6325,1338
300,802964,8722,181937,6377,1274
301,801686,8705,183191,6418,1278
302,800348,8769,184425,6458,1338
303,798965,8849,185683,6503,1383
304,797656,8841,186954,6549,1309
305,796321,8893,188191,6595,1335
306,794973,8930,189458,6639,1348
307,793589,8991,190731,6689,1384
308,792236,8980,192047,6737,1353
309,790873,8962,193378,6787,1363
310,789536,9044,194585,6835,1337
311,788179,9121,195830,6870,1357
312,786817,9125,197144,6914,1362
313,785406,9166,198466,6962,1411
314,784053,9192,199742,7013,1353
315,782695,9211,201044,7050,1358
316,781279,9318,202310,7093,1416
317,779859,9356,203654,7131,1420
318,778500,9335,204991,7174,1359
319,777098,9365,206336,7201,1402
320,775738,9399,207618,7245,1360
321,774395,9355,208947,7303,1343
322,773029,9348,210261,7362,1366
323,771639,9327,211619,7415,1390
324,770225,9433,212889,7453,1414
325,768744,9529,214225,7502,1481
326,767303,9560,215588,7549,1441
327,765842,9636,216925,7597,1461
328,764369,9602,218391,7638,1473
329,762905,9620,219791,7684,1464
330,761463,9683,221119,7735,1442
331,760015,9658,222552,7775,1448
332,758593,9684,223887,7836,1422
333,757131,9734,225238,7897,1462
334,755666,9706,226685,7943,1465
335,754238,9667,228098,7997,1428
336,752803,9669,229486,8042,1435
337,751354,9697,230855,8094,1449
338,749867,9767,232217,8149,1487
339,748320,9889,233583,8208,1547
340,746809,9983,234943,8265,1511
341,745192,10057,236425,8326,1617
342,743677,10106,237843,8374,1515
343,742194,10103,239277,8426,1483
344,740676,10168,240694,8462,1518
345,739208,10100,242185,8507,1468
346,737674,10161,243606,8559,1534
347,736140,10221,245031,8608,1534
348,734587,10233,246517,8663,1553
349,732997,10312,247987,8704,1590
350,731409,10389,249446,8756,1588
351,729817,10435,250930,8818,1592
352,728268,10482,252371,8879,1549
353,726680,10508,253879,8933,1588
354,725134,10472,255398,8996,1546
355,723542,10520,256883,9055,1592
356,721919,10591,258381,9109,1623
357,720373,10606,259865,9156,1546
358,718794,10585,261410,9211,1579
359,717169,10660,262919,9252,1625
360,715579,10620,264500,9301,1590
361,713978,10685,265974,9363,1601
362,712354,10752,267476,9418,1624
363,710729,10811,268989,9471,1625
364,709129,10749,270583,9539,1600
