day,s_median,i_median,r_median,d_median,i_p05,i_p25,i_p75,i_p95
0,999985,14,1,0,14,14,14,14
1,999977,19,4,0,19,19,19,19
2,999966,29,5,0,29,29,29,29
3,999953,39,8,0,39,39,39,39
4,999926,61,13,0,61,61,61,61
5,999903,74,23,0,74,74,74,74
6,999878,88,34,0,88,88,88,88
7,999852,107,41,0,107,107,107,107
8,999818,126,54,2,126,126,126,126
9,999781,144,73,2,144,144,144,144
10,999743,158,95,4,158,158,158,158
11,999691,186,118,5,186,186,186,186
12,999636,208,150,6,208,208,208,208
13,999596,211,184,9,211,211,211,211
14,999545,238,208,9,238,238,238,238
15,999485,262,243,10,262,262,262,262
16,999420,281,286,13,281,281,281,281
17,999348,308,327,17,308,308,308,308
18,999260,358,364,18,358,358,358,358
19,999182,378,421,19,378,378,378,378
20,999087,423,468,22,423,423,423,423
21,999000,448,528,24,448,448,448,448
22,998910,479,586,25,479,479,479,479
23,998817,502,653,28,502,502,502,502
24,998728,524,719,29,524,524,524,524
25,998622,549,798,31,549,549,549,549
26,998518,577,872,33,577,577,577,577
27,998403,604,957,36,604,604,604,604
28,998285,625,1049,41,625,625,625,625
29,998175,653,1128,44,653,653,653,653
30,998043,681,1230,46,681,681,681,681
31,997913,719,1319,49,719,719,719,719
32,997781,744,1423,52,744,744,744,744
33,997635,786,1521,58,786,786,786,786
34,997499,827,1613,61,827,827,827,827
35,997353,858,1723,66,858,858,858,858
36,997191,888,1852,69,888,888,888,888
37,997034,925,1967,74,925,925,925,925
38,996875,934,2110,81,934,934,934,934
39,996697,964,2253,86,964,964,964,964
40,996508,1024,2368,100,1024,1024,1024,1024
41,996332,1049,2510,109,1049,1049,1049,1049
42,996166,1082,2639,113,1082,1082,1082,1082
43,995978,1103,2802,117,1103,1103,1103,1103
44,995786,1128,2961,125,1128,1128,1128,1128
45,995588,1154,3128,130,1154,1154,1154,1154
46,995392,1190,3284,134,1190,1190,1190,1190
47,995165,1229,3466,140,1229,1229,1229,1229
48,994974,1215,3667,144,1215,1215,1215,1215
49,994766,1243,3844,147,1243,1243,1243,1243
50,994557,1265,4021,157,1265,1265,1265,1265
51,994336,1316,4183,165,1316,1316,1316,1316
52,994147,1312,4371,170,1312,1312,1312,1312
53,993938,1331,4556,175,1331,1331,1331,1331
54,993717,1370,4733,180,1370,1370,1370,1370
55,993475,1409,4930,186,1409,1409,1409,1409
56,993243,1450,5112,195,1450,1450,1450,1450
57,993008,1480,5311,201,1480,1480,1480,1480
58,992748,1516,5532,204,1516,1516,1516,1516
59,992504,1510,5775,211,1510,1510,1510,1510
60,992271,1536,5973,220,1536,1536,1536,1536
61,992028,1571,6176,225,1571,1571,1571,1571
62,991777,1578,6412,233,1578,1578,1578,1578
