day,susceptible,infected,recovered,dead,new_infections
0,9979,18,2,1,11
1,9964,29,6,1,15
2,9947,43,8,2,17
3,9933,55,10,2,14
4,9913,63,22,2,20
5,9890,75,33,2,23
6,9860,95,43,2,30
7,9830,112,56,2,30
8,9797,125,75,3,33
9,9764,140,93,3,33
10,9726,161,110,3,38
11,9677,186,134,3,49
12,9630,213,153,4,47
13,9566,239,188,7,64
14,9502,266,219,13,64
15,9437,295,251,17,65
16,9375,307,298,20,62
17,9293,331,356,20,82
18,9225,358,397,20,68
19,9161,367,448,24,64
20,9076,403,494,27,85
21,8991,429,551,29,85
22,8890,459,622,29,101
23,8785,498,686,31,105
24,8692,512,763,33,93
25,8592,542,830,36,100
26,8488,570,905,37,104
27,8372,596,991,41,116
28,8244,645,1068,43,128
29,8128,679,1149,44,116
