day,s_median,i_median,r_median,d_median,i_p05,i_p25,i_p75,i_p95
0,9979,18,2,1,18,18,18,18
1,9964,29,6,1,29,29,29,29
2,9947,43,8,2,43,43,43,43
3,9933,55,10,2,55,55,55,55
4,9913,63,22,2,63,63,63,63
5,9890,75,33,2,75,75,75,75
6,9860,95,43,2,95,95,95,95
7,9830,112,56,2,112,112,112,112
8,9797,125,75,3,125,125,125,125
9,9764,140,93,3,140,140,140,140
10,9726,161,110,3,161,161,161,161
11,9677,186,134,3,186,186,186,186
12,9630,213,153,4,213,213,213,213
13,9566,239,188,7,239,239,239,239
14,9502,266,219,13,266,266,266,266
15,9437,295,251,17,295,295,295,295
16,9375,307,298,20,307,307,307,307
17,9293,331,356,20,331,331,331,331
18,9225,358,397,20,358,358,358,358
19,9161,367,448,24,367,367,367,367
20,9076,403,494,27,403,403,403,403
21,8991,429,551,29,429,429,429,429
22,8890,459,622,29,459,459,459,459
23,8785,498,686,31,498,498,498,498
24,8692,512,763,33,512,512,512,512
25,8592,542,830,36,542,542,542,542
26,8488,570,905,37,570,570,570,570
27,8372,596,991,41,596,596,596,596
28,8244,645,1068,43,645,645,645,645
29,8128,679,1149,44,679,679,679,679
